product_id,product_name,category,sub_category,price
P00080,Quick Curd 1L,Baby Care,Diapers,580
P00081,Fresh Curd 500g,Personal Care,Oral Care,390
P00082,Happy Juice 6 pcs,Fruits & Vegetables,Herbs,280
P00083,Smart Eggs 6 pcs,Fruits & Vegetables,Fresh Vegetables,60
P00084,Pure Dishwash 12 pcs,Dairy & Bakery,Curd & Yogurt,230
P00085,Daily Toor Dal 200g,Grocery & Staples,Dal & Pulses,330
P00086,Pure Tomato 500g,Grocery & Staples,Rice,160
P00087,Urban Floor Cleaner 1L,Personal Care,Deos & Perfumes,570
P00088,Metro Cashew 12 pcs,Dairy & Bakery,Curd & Yogurt,110
P00089,Happy Dishwash 500g,Beverages,Soft Drinks,30
P00090,Smart Curd 6 pcs,Beverages,Tea & Coffee,110
P00091,Happy Banana 500ml,Beverages,Juices,70
P00092,Quick Coffee 500g,Dairy & Bakery,Cakes,190
P00093,Fresh Apple 500ml,Grocery & Staples,Atta & Flour,150
P00094,Happy Toothpaste 6 pcs,Fruits & Vegetables,Fresh Fruits,240
P00095,Smart Curd 1L,Household,Laundry,390
P00096,Happy Bread 500ml,Baby Care,Baby Skin Care,180
P00097,Quick Bread 500ml,Snacks & Branded Foods,Instant Food,60
P00098,Smart Dishwash 500ml,Baby Care,Baby Skin Care,640
P00099,Green Tomato 200g,Snacks & Branded Foods,Chips & Namkeen,170
P00100,Quick Cookies 500g,Dairy & Bakery,Breads,80
P00101,Pure Toor Dal 6 pcs,Baby Care,Diapers,470
P00102,Quick Cold Drink 500g,Dairy & Bakery,Cakes,200
P00103,Quick Chocolate 1kg,Household,Cleaning Supplies,200
P00104,Urban Curd 1L,Dairy & Bakery,Milk,20
P00105,Good Banana 200g,Baby Care,Diapers,520
P00106,Good Floor Cleaner 1kg,Baby Care,Diapers,590
P00107,Quick Curd 1kg,Snacks & Branded Foods,Instant Food,130
P00108,Happy Cold Drink 2kg,Dairy & Bakery,Cakes,100
P00109,Good Juice 500ml,Dairy & Bakery,Breads,130
P00110,Green Shampoo 1L,Baby Care,Baby Food,500
P00111,Daily Atta 500g,Beverages,Soft Drinks,240
P00112,Smart Cookies 500g,Personal Care,Hair Care,590
P00113,Green Curd 500g,Fruits & Vegetables,Fresh Vegetables,70
P00114,Quick Floor Cleaner 6 pcs,Household,Disposables,180
P00115,Smart Potato 1L,Snacks & Branded Foods,Chips & Namkeen,40
P00116,Smart Apple 1L,Beverages,Energy Drinks,190
P00117,Happy Atta 2kg,Dairy & Bakery,Paneer,40
P00118,Daily Basmati Rice 500g,Household,Disposables,400
P00119,Urban Dishwash 200g,Beverages,Juices,220
P00120,Quick Almonds 500ml,Beverages,Soft Drinks,50
P00121,Happy Curd 12 pcs,Snacks & Branded Foods,Chips & Namkeen,240
P00122,Metro Cold Drink 500g,Personal Care,Oral Care,600
P00123,Good Atta 500g,Baby Care,Diapers,380
P00124,Happy Eggs 1L,Dairy & Bakery,Cakes,150
P00125,Green Toor Dal 6 pcs,Fruits & Vegetables,Fresh Vegetables,130
P00126,Daily Toothpaste 1kg,Personal Care,Oral Care,480
P00127,Smart Toor Dal 2kg,Household,Laundry,200
P00128,Daily Bread 12 pcs,Fruits & Vegetables,Fresh Vegetables,280
P00129,Smart Coffee 500ml,Snacks & Branded Foods,Chips & Namkeen,100
P00130,Pure Chocolate 1L,Fruits & Vegetables,Herbs,40
P00131,Daily Namkeen 200g,Dairy & Bakery,Paneer,240
P00132,Fresh Floor Cleaner 1L,Dairy & Bakery,Milk,220
P00133,Smart Atta 12 pcs,Grocery & Staples,Dal & Pulses,470
P00134,Daily Chocolate 200g,Household,Disposables,350
P00135,Quick Tea 6 pcs,Baby Care,Baby Skin Care,330
P00136,Daily Almonds 12 pcs,Fruits & Vegetables,Fresh Fruits,30
P00137,Daily Milk 12 pcs,Baby Care,Baby Skin Care,740
P00138,Happy Toor Dal 6 pcs,Fruits & Vegetables,Fresh Vegetables,270
P00139,Fresh Juice 6 pcs,Household,Laundry,190
P00140,Pure Namkeen 1kg,Personal Care,Skin Care,60
P00141,Quick Curd 12 pcs,Personal Care,Hair Care,390
P00142,Metro Bread 500g,Grocery & Staples,Atta & Flour,420
P00143,Quick Tea 1L,Grocery & Staples,Dry Fruits,100
P00144,Pure Juice 12 pcs,Fruits & Vegetables,Fresh Fruits,300
P00145,Urban Floor Cleaner 200g,Baby Care,Diapers,490
P00146,Urban Coffee 6 pcs,Personal Care,Skin Care,530
P00147,Happy Juice 500g,Baby Care,Baby Food,590
P00148,Metro Bread 200g,Household,Disposables,90
P00149,Urban Apple 6 pcs,Fruits & Vegetables,Fresh Fruits,180
P00150,Green Curd 12 pcs,Household,Disposables,70
P00151,Happy Atta 200g,Beverages,Energy Drinks,50
P00152,Daily Cold Drink 1kg,Dairy & Bakery,Paneer,70
P00153,Smart Potato 12 pcs,Dairy & Bakery,Milk,250
P00154,Good Namkeen 500g,Beverages,Soft Drinks,230
P00155,Fresh Tomato 200g,Baby Care,Baby Food,500
P00156,Pure Cashew 1kg,Snacks & Branded Foods,Instant Food,50
P00157,Happy Shampoo 1kg,Personal Care,Hair Care,120
P00158,Good Apple 12 pcs,Grocery & Staples,Dal & Pulses,120
P00159,Pure Eggs 12 pcs,Snacks & Branded Foods,Chips & Namkeen,100
P00160,Fresh Curd 12 pcs,Dairy & Bakery,Cakes,80
P00161,Happy Milk 2kg,Grocery & Staples,Rice,310
P00162,Fresh Floor Cleaner 2kg,Dairy & Bakery,Paneer,20
P00163,Smart Tea 500ml,Household,Disposables,230
P00164,Urban Tea 6 pcs,Baby Care,Diapers,440
P00165,Happy Cookies 500g,Dairy & Bakery,Curd & Yogurt,270
P00166,Good Toothpaste 200g,Fruits & Vegetables,Fresh Vegetables,30
P00167,Fresh Apple 1kg,Baby Care,Diapers,790
P00168,Happy Atta 12 pcs,Baby Care,Baby Skin Care,430
P00169,Smart Cookies 500ml,Fruits & Vegetables,Fresh Vegetables,210
P00170,Good Toor Dal 200g,Dairy & Bakery,Paneer,280
P00171,Green Banana 1kg,Snacks & Branded Foods,Instant Food,40
P00172,Happy Cold Drink 500ml,Beverages,Tea & Coffee,210
P00173,Metro Juice 500ml,Grocery & Staples,Rice,130
P00174,Daily Chocolate 500g,Grocery & Staples,Rice,570
P00175,Urban Banana 200g,Grocery & Staples,Rice,550
P00176,Quick Namkeen 2kg,Fruits & Vegetables,Fresh Vegetables,270
P00177,Metro Atta 1kg,Personal Care,Oral Care,560
P00178,Quick Curd 500g,Personal Care,Deos & Perfumes,380
P00179,Quick Namkeen 500ml,Baby Care,Baby Food,390
P00180,Quick Cashew 1kg,Baby Care,Baby Food,230
P00181,Smart Milk 200g,Household,Laundry,150
P00182,Daily Chocolate 12 pcs,Dairy & Bakery,Breads,100
P00183,Quick Namkeen 500ml,Household,Laundry,370
P00184,Daily Cashew 500ml,Household,Laundry,160
P00185,Pure Juice 200g,Fruits & Vegetables,Fresh Fruits,250
P00186,Urban Chocolate 500g,Snacks & Branded Foods,Instant Food,210
P00187,Pure Basmati Rice 12 pcs,Fruits & Vegetables,Fresh Fruits,130
P00188,Green Eggs 1kg,Fruits & Vegetables,Fresh Fruits,130
P00189,Pure Namkeen 500ml,Snacks & Branded Foods,Chips & Namkeen,130
P00190,Fresh Eggs 2kg,Grocery & Staples,Rice,90
P00191,Fresh Tea 1kg,Dairy & Bakery,Milk,100
P00192,Green Curd 500ml,Beverages,Juices,30
P00193,Quick Chocolate 6 pcs,Personal Care,Deos & Perfumes,210
P00194,Daily Chocolate 12 pcs,Household,Disposables,100
P00195,Smart Dishwash 2kg,Dairy & Bakery,Breads,40
P00196,Pure Basmati Rice 500ml,Baby Care,Diapers,290
P00197,Good Toothpaste 500ml,Snacks & Branded Foods,Chips & Namkeen,230
P00198,Daily Tea 500g,Personal Care,Deos & Perfumes,420
P00199,Urban Chocolate 1kg,Baby Care,Diapers,700
P00200,Smart Toor Dal 500g,Fruits & Vegetables,Fresh Vegetables,100
P00201,Quick Toor Dal 2kg,Baby Care,Baby Skin Care,780
P00202,Green Cashew 200g,Household,Laundry,220
P00203,Green Bread 1kg,Beverages,Juices,130
P00204,Smart Bread 12 pcs,Beverages,Energy Drinks,40
P00205,Smart Cashew 1kg,Dairy & Bakery,Cakes,110
P00206,Pure Cookies 500ml,Baby Care,Diapers,130
P00207,Quick Chocolate 1L,Grocery & Staples,Dal & Pulses,500
P00208,Urban Potato 500ml,Dairy & Bakery,Milk,240
P00209,Urban Shampoo 6 pcs,Personal Care,Deos & Perfumes,170
P00210,Quick Basmati Rice 500g,Baby Care,Diapers,200
P00211,Good Potato 1L,Grocery & Staples,Dry Fruits,560
P00212,Green Coffee 12 pcs,Baby Care,Baby Food,530
P00213,Pure Toothpaste 1L,Baby Care,Baby Food,390
P00214,Pure Dishwash 6 pcs,Household,Disposables,180
P00215,Green Chocolate 500g,Baby Care,Baby Food,250
P00216,Green Cookies 500ml,Fruits & Vegetables,Fresh Vegetables,270
P00217,Urban Cashew 1kg,Beverages,Juices,50
P00218,Good Chocolate 1kg,Dairy & Bakery,Paneer,260
P00219,Smart Almonds 500ml,Dairy & Bakery,Paneer,130
P00220,Urban Tea 2kg,Grocery & Staples,Atta & Flour,220
P00221,Metro Floor Cleaner 500g,Grocery & Staples,Atta & Flour,470
P00222,Metro Toor Dal 500ml,Beverages,Tea & Coffee,120
P00223,Green Juice 500g,Grocery & Staples,Dal & Pulses,350
P00224,Pure Curd 2kg,Beverages,Tea & Coffee,170
P00225,Metro Toothpaste 2kg,Grocery & Staples,Atta & Flour,470
P00226,Quick Basmati Rice 12 pcs,Fruits & Vegetables,Fresh Fruits,120
P00227,Good Milk 500ml,Personal Care,Skin Care,550
P00228,Good Shampoo 500ml,Personal Care,Skin Care,70
P00229,Smart Chocolate 200g,Dairy & Bakery,Curd & Yogurt,210
P00230,Fresh Banana 500g,Personal Care,Oral Care,130
P00231,Metro Tea 1L,Fruits & Vegetables,Fresh Vegetables,180
P00232,Urban Toor Dal 12 pcs,Personal Care,Hair Care,110
P00233,Metro Banana 6 pcs,Household,Laundry,330
P00234,Daily Almonds 12 pcs,Fruits & Vegetables,Herbs,230
P00235,Quick Basmati Rice 2kg,Beverages,Juices,60
P00236,Quick Banana 6 pcs,Personal Care,Hair Care,90
P00237,Green Almonds 12 pcs,Dairy & Bakery,Paneer,180
P00238,Pure Milk 500g,Fruits & Vegetables,Herbs,110
P00239,Daily Bread 6 pcs,Fruits & Vegetables,Fresh Fruits,170
P00240,Daily Almonds 12 pcs,Snacks & Branded Foods,Biscuits & Cookies,70
P00241,Daily Curd 2kg,Grocery & Staples,Rice,350
P00242,Fresh Banana 1L,Dairy & Bakery,Paneer,110
P00243,Good Toor Dal 2kg,Household,Laundry,280
P00244,Good Toor Dal 1kg,Snacks & Branded Foods,Chips & Namkeen,90
P00245,Pure Chocolate 6 pcs,Dairy & Bakery,Breads,60
P00246,Pure Apple 500g,Fruits & Vegetables,Fresh Fruits,110
P00247,Fresh Eggs 200g,Dairy & Bakery,Paneer,40
P00248,Daily Chocolate 1kg,Dairy & Bakery,Breads,20
P00249,Quick Bread 500ml,Dairy & Bakery,Cakes,280
P00250,Green Banana 6 pcs,Personal Care,Hair Care,550
P00251,Urban Floor Cleaner 500g,Grocery & Staples,Dry Fruits,560
P00252,Good Banana 2kg,Beverages,Energy Drinks,240
P00253,Happy Curd 500g,Dairy & Bakery,Milk,160
P00254,Metro Eggs 1L,Grocery & Staples,Dry Fruits,340
P00255,Urban Floor Cleaner 2kg,Personal Care,Oral Care,330
P00256,Smart Banana 1L,Household,Cleaning Supplies,320
P00257,Fresh Milk 200g,Baby Care,Baby Skin Care,440
P00258,Green Basmati Rice 12 pcs,Beverages,Soft Drinks,220
P00259,Metro Eggs 2kg,Dairy & Bakery,Cakes,130
P00260,Good Almonds 2kg,Household,Laundry,310
P00261,Smart Chocolate 6 pcs,Household,Disposables,130
P00262,Urban Dishwash 200g,Baby Care,Baby Food,180
P00263,Daily Bread 2kg,Fruits & Vegetables,Fresh Fruits,260
P00264,Green Potato 500ml,Personal Care,Hair Care,140
P00265,Quick Cookies 1kg,Baby Care,Diapers,740
P00266,Pure Curd 6 pcs,Fruits & Vegetables,Fresh Vegetables,20
P00267,Quick Juice 12 pcs,Grocery & Staples,Rice,200
P00268,Fresh Eggs 500ml,Baby Care,Baby Food,480
P00269,Metro Dishwash 1kg,Beverages,Juices,170
P00270,Urban Cashew 2kg,Snacks & Branded Foods,Biscuits & Cookies,220
P00271,Quick Floor Cleaner 500ml,Grocery & Staples,Dry Fruits,170
P00272,Green Eggs 200g,Beverages,Juices,120
P00273,Good Namkeen 1kg,Snacks & Branded Foods,Biscuits & Cookies,70
P00274,Smart Tea 500ml,Fruits & Vegetables,Herbs,150
P00275,Metro Tomato 1L,Baby Care,Baby Food,390
P00276,Daily Cold Drink 6 pcs,Grocery & Staples,Rice,330
P00277,Green Apple 12 pcs,Household,Laundry,260
P00278,Daily Cold Drink 1kg,Dairy & Bakery,Cakes,190
P00279,Metro Bread 1kg,Household,Laundry,210
P00280,Metro Coffee 500g,Fruits & Vegetables,Herbs,290
P00281,Green Tomato 500g,Fruits & Vegetables,Herbs,250
P00282,Urban Bread 12 pcs,Beverages,Tea & Coffee,130
P00283,Quick Floor Cleaner 500ml,Fruits & Vegetables,Fresh Fruits,260
P00284,Urban Toothpaste 200g,Grocery & Staples,Atta & Flour,360
P00285,Green Eggs 500g,Beverages,Soft Drinks,130
P00286,Quick Namkeen 1kg,Snacks & Branded Foods,Biscuits & Cookies,180
P00287,Smart Toothpaste 500g,Dairy & Bakery,Paneer,200
P00288,Metro Milk 500g,Grocery & Staples,Dal & Pulses,590
P00289,Smart Almonds 12 pcs,Personal Care,Skin Care,550
P00290,Metro Shampoo 2kg,Dairy & Bakery,Breads,130
P00291,Good Dishwash 200g,Fruits & Vegetables,Herbs,100
P00292,Good Toothpaste 500g,Grocery & Staples,Rice,410
P00293,Fresh Eggs 1kg,Snacks & Branded Foods,Biscuits & Cookies,50
P00294,Good Curd 500g,Snacks & Branded Foods,Chips & Namkeen,200
P00295,Metro Toor Dal 6 pcs,Baby Care,Baby Skin Care,540
P00296,Smart Tomato 200g,Dairy & Bakery,Paneer,120
P00297,Good Curd 500g,Baby Care,Diapers,650
P00298,Smart Apple 1kg,Personal Care,Oral Care,390
P00299,Smart Curd 500ml,Baby Care,Diapers,350
P00300,Urban Cashew 1kg,Personal Care,Oral Care,510
P00301,Quick Cookies 12 pcs,Personal Care,Oral Care,560
P00302,Green Floor Cleaner 6 pcs,Fruits & Vegetables,Fresh Fruits,150
P00303,Good Toothpaste 200g,Beverages,Energy Drinks,220
P00304,Good Cashew 2kg,Household,Disposables,60
P00305,Daily Coffee 1L,Fruits & Vegetables,Fresh Vegetables,290
P00306,Pure Banana 1kg,Personal Care,Deos & Perfumes,380
P00307,Pure Shampoo 1kg,Personal Care,Skin Care,90
P00308,Happy Tomato 6 pcs,Personal Care,Deos & Perfumes,160
P00309,Fresh Potato 200g,Dairy & Bakery,Breads,80
P00310,Quick Shampoo 200g,Household,Cleaning Supplies,90
P00311,Happy Milk 500ml,Baby Care,Diapers,740
P00312,Good Toor Dal 6 pcs,Grocery & Staples,Dal & Pulses,230
P00313,Smart Floor Cleaner 12 pcs,Personal Care,Hair Care,260
P00314,Smart Toothpaste 500ml,Fruits & Vegetables,Fresh Vegetables,270
P00315,Good Bread 500g,Grocery & Staples,Atta & Flour,50
P00316,Quick Toothpaste 200g,Personal Care,Hair Care,510
P00317,Happy Toor Dal 500ml,Personal Care,Skin Care,420
P00318,Metro Atta 200g,Baby Care,Baby Food,520
P00319,Urban Juice 500ml,Grocery & Staples,Dry Fruits,80
P00320,Daily Cold Drink 1kg,Baby Care,Baby Skin Care,580
P00321,Pure Almonds 500g,Beverages,Energy Drinks,100
P00322,Smart Tomato 200g,Personal Care,Oral Care,490
P00323,Smart Basmati Rice 500g,Baby Care,Baby Skin Care,350
P00324,Good Atta 2kg,Fruits & Vegetables,Fresh Fruits,190
P00325,Daily Shampoo 1L,Beverages,Soft Drinks,170
P00326,Smart Cashew 2kg,Fruits & Vegetables,Fresh Vegetables,90
P00327,Fresh Juice 12 pcs,Grocery & Staples,Dry Fruits,480
P00328,Pure Eggs 12 pcs,Beverages,Tea & Coffee,30
P00329,Fresh Shampoo 200g,Grocery & Staples,Dry Fruits,560
P00330,Urban Atta 1L,Grocery & Staples,Dry Fruits,100
P00331,Quick Cookies 500ml,Beverages,Juices,30
P00332,Urban Cookies 500ml,Fruits & Vegetables,Herbs,30
P00333,Good Floor Cleaner 2kg,Grocery & Staples,Dal & Pulses,230
P00334,Good Cookies 1kg,Fruits & Vegetables,Fresh Vegetables,260
P00335,Metro Juice 1L,Household,Cleaning Supplies,100
P00336,Daily Potato 500ml,Dairy & Bakery,Milk,40
P00337,Pure Cookies 1kg,Fruits & Vegetables,Fresh Fruits,260
P00338,Quick Chocolate 2kg,Household,Laundry,160
P00339,Good Namkeen 2kg,Snacks & Branded Foods,Biscuits & Cookies,220
P00340,Quick Milk 6 pcs,Household,Disposables,50
P00341,Urban Milk 6 pcs,Household,Disposables,220
P00342,Fresh Coffee 2kg,Dairy & Bakery,Breads,270
P00343,Green Juice 6 pcs,Personal Care,Deos & Perfumes,230
P00344,Good Coffee 500ml,Fruits & Vegetables,Fresh Fruits,260
P00345,Good Atta 12 pcs,Dairy & Bakery,Cakes,200
P00346,Happy Floor Cleaner 500ml,Dairy & Bakery,Paneer,90
P00347,Good Basmati Rice 12 pcs,Grocery & Staples,Rice,500
P00348,Urban Cold Drink 6 pcs,Baby Care,Diapers,680
P00349,Quick Shampoo 200g,Grocery & Staples,Rice,510
P00350,Good Toothpaste 6 pcs,Fruits & Vegetables,Herbs,250
P00351,Quick Toor Dal 500g,Fruits & Vegetables,Fresh Fruits,210
P00352,Quick Basmati Rice 500g,Beverages,Tea & Coffee,50
P00353,Fresh Floor Cleaner 500ml,Dairy & Bakery,Breads,100
P00354,Metro Potato 1kg,Dairy & Bakery,Paneer,120
P00355,Daily Chocolate 500g,Baby Care,Diapers,490
P00356,Daily Atta 500ml,Personal Care,Skin Care,250
P00357,Metro Floor Cleaner 1kg,Snacks & Branded Foods,Biscuits & Cookies,40
P00358,Daily Bread 6 pcs,Personal Care,Oral Care,140
P00359,Fresh Namkeen 12 pcs,Grocery & Staples,Atta & Flour,400
P00360,Urban Potato 12 pcs,Dairy & Bakery,Milk,270
P00361,Smart Floor Cleaner 1L,Snacks & Branded Foods,Chips & Namkeen,90
P00362,Good Toor Dal 500ml,Household,Disposables,240
P00363,Quick Namkeen 500g,Personal Care,Oral Care,450
P00364,Smart Toothpaste 6 pcs,Baby Care,Diapers,700
P00365,Green Cookies 200g,Fruits & Vegetables,Herbs,90
P00366,Good Toor Dal 500g,Baby Care,Baby Food,110
P00367,Good Toothpaste 1L,Snacks & Branded Foods,Biscuits & Cookies,220
P00368,Metro Namkeen 1L,Beverages,Juices,60
P00369,Urban Tea 500ml,Personal Care,Skin Care,70
P00370,Urban Shampoo 12 pcs,Grocery & Staples,Dry Fruits,120
P00371,Quick Namkeen 500g,Baby Care,Baby Skin Care,170
P00372,Fresh Toothpaste 6 pcs,Snacks & Branded Foods,Chips & Namkeen,220
P00373,Green Curd 1L,Grocery & Staples,Dal & Pulses,340
P00374,Urban Cashew 1L,Baby Care,Diapers,260
P00375,Pure Tea 6 pcs,Baby Care,Baby Food,430
P00376,Metro Tomato 6 pcs,Beverages,Juices,110
P00377,Smart Namkeen 12 pcs,Baby Care,Diapers,250
P00378,Good Namkeen 200g,Baby Care,Diapers,350
P00379,Daily Eggs 6 pcs,Fruits & Vegetables,Fresh Fruits,70
P00380,Pure Floor Cleaner 1kg,Household,Disposables,210
P00381,Quick Tea 200g,Dairy & Bakery,Curd & Yogurt,200
P00382,Pure Namkeen 1L,Dairy & Bakery,Curd & Yogurt,230
P00383,Pure Atta 6 pcs,Dairy & Bakery,Paneer,300
P00384,Smart Toor Dal 500g,Personal Care,Hair Care,420
P00385,Fresh Tomato 500ml,Beverages,Juices,60
P00386,Metro Banana 500ml,Baby Care,Baby Skin Care,770
P00387,Urban Curd 200g,Personal Care,Deos & Perfumes,210
P00388,Urban Atta 500ml,Household,Cleaning Supplies,290
P00389,Pure Banana 500g,Dairy & Bakery,Milk,140
P00390,Daily Dishwash 200g,Household,Laundry,60
P00391,Happy Tea 200g,Beverages,Juices,90
P00392,Smart Almonds 1kg,Baby Care,Baby Food,620
P00393,Pure Atta 1L,Grocery & Staples,Dry Fruits,530
P00394,Pure Tea 200g,Grocery & Staples,Dal & Pulses,460
P00395,Happy Basmati Rice 200g,Fruits & Vegetables,Herbs,140
P00396,Smart Basmati Rice 12 pcs,Snacks & Branded Foods,Biscuits & Cookies,100
P00397,Happy Cashew 1kg,Grocery & Staples,Dry Fruits,260
P00398,Happy Potato 500ml,Household,Laundry,260
P00399,Daily Cookies 1L,Household,Cleaning Supplies,300
P00400,Quick Milk 500ml,Grocery & Staples,Dal & Pulses,370
P00401,Metro Toor Dal 6 pcs,Dairy & Bakery,Breads,270
P00402,Smart Toothpaste 500g,Snacks & Branded Foods,Chips & Namkeen,190
P00403,Pure Toor Dal 12 pcs,Personal Care,Hair Care,120
P00404,Fresh Juice 6 pcs,Household,Laundry,220
P00405,Fresh Toor Dal 6 pcs,Baby Care,Diapers,280
P00406,Happy Toor Dal 2kg,Personal Care,Oral Care,170
P00407,Green Chocolate 6 pcs,Personal Care,Skin Care,160
P00408,Fresh Basmati Rice 500ml,Fruits & Vegetables,Fresh Fruits,210
P00409,Smart Curd 6 pcs,Beverages,Tea & Coffee,150
P00410,Green Juice 2kg,Personal Care,Hair Care,50
P00411,Happy Chocolate 6 pcs,Fruits & Vegetables,Herbs,70
P00412,Urban Shampoo 6 pcs,Dairy & Bakery,Milk,50
P00413,Pure Juice 500g,Fruits & Vegetables,Fresh Fruits,180
P00414,Daily Floor Cleaner 2kg,Fruits & Vegetables,Fresh Vegetables,220
P00415,Good Shampoo 6 pcs,Household,Laundry,320
P00416,Fresh Juice 500g,Dairy & Bakery,Paneer,170
P00417,Metro Basmati Rice 2kg,Baby Care,Baby Skin Care,670
P00418,Pure Cold Drink 500g,Dairy & Bakery,Curd & Yogurt,70
P00419,Smart Juice 6 pcs,Fruits & Vegetables,Fresh Vegetables,270
P00420,Urban Toor Dal 1L,Fruits & Vegetables,Fresh Fruits,250
